data_src,acd,profile_key,profile_attribute,profile_id,profile_value
cms_src,1,skill,skill_name,101,skill101
cms_src,1,skill,skill_name,102,skill102
cms_src,1,skill,skill_name,103,skill103
cms_src,1,skill,skill_name,104,skill104
cms_src,1,skill,skill_name,105,skill105
cms_src,1,skill,skill_name,106,skill106
cms_src,1,skill,skill_name,107,skill107
cms_src,1,skill,skill_name,108,skill108
cms_src,1,skill,skill_name,109,skill109
cms_src,1,skill,skill_name,110,skill110
cms_src,1,skill,skill_name,111,skill111
cms_src,1,skill,skill_name,112,skill112
cms_src,1,skill,skill_name,113,skill113
cms_src,1,skill,skill_name,114,skill114
cms_src,1,skill,skill_name,115,skill115
cms_src,1,skill,skill_name,116,skill116
cms_src,1,skill,skill_name,117,skill117
cms_src,1,skill,skill_name,118,skill118
cms_src,1,skill,skill_name,119,skill119
cms_src,1,skill,skill_name,120,skill120
